iter	Passed	Remaining
469	685	772
470	687	772
471	688	770
472	689	768
473	690	765
474	690	763
475	691	761
476	692	759
477	693	757
478	694	755
479	695	752
480	695	750
481	696	748
482	697	746
483	698	744
484	699	742
485	700	740
486	700	738
487	703	737
488	704	735
489	705	733
490	705	731
491	706	729
492	708	728
493	708	726
494	709	724
495	710	722
496	711	719
497	712	717
498	713	715
499	713	713
500	714	711
501	715	709
502	717	708
503	718	706
504	719	704
505	719	702
506	720	700
507	721	698
508	722	696
509	723	694
510	724	692
511	724	690
512	725	689
513	726	686
514	727	685
515	728	683
516	729	681
517	729	679
518	730	677
519	731	675
520	732	673
521	733	671
522	734	669
523	735	667
524	736	666
525	736	664
526	737	662
527	738	660
528	739	658
529	740	656
530	740	654
531	741	652
532	742	650
533	743	648
534	744	647
535	745	645
536	746	643
537	747	641
538	748	640
539	749	638
540	750	636
541	750	634
542	751	632
543	752	630
544	753	628
545	754	627
546	755	625
547	755	623
548	756	621
549	757	619
550	758	618
551	759	616
552	760	614
553	761	612
554	762	611
555	763	609
556	764	607
557	764	605
558	765	604
559	766	602
560	767	600
561	768	598
562	768	596
563	769	595
564	770	593
565	771	591
566	772	589
567	773	588
568	774	586
569	774	584
570	775	582
571	776	581
572	777	579
573	778	577
574	779	576
575	780	574
576	781	572
577	781	570
578	782	569
579	783	567
580	784	565
581	785	563
582	786	562
583	787	560
584	788	559
585	788	557
586	789	555
587	790	553
588	791	552
589	792	550
590	793	548
591	794	547
592	794	545
593	795	543
594	796	542
595	797	540
596	798	538
597	799	537
598	800	535
599	801	534
600	802	532
601	802	530
602	803	529
603	804	527
604	805	525
605	806	524
606	807	522
607	808	521
608	809	519
609	810	517
610	810	516
611	811	514
612	812	513
613	813	511
614	814	509
615	815	508
616	815	506
617	816	504
618	817	503
619	818	501
620	819	500
621	820	498
622	820	496
623	822	495
624	822	493
625	823	492
626	824	490
627	825	488
628	826	487
629	827	485
630	828	484
631	829	482
632	829	481
633	830	479
634	831	477
635	832	476
636	833	474
637	834	473
638	834	471
639	835	470
640	837	469
641	838	467
642	839	466
643	840	464
644	841	463
645	842	461
646	843	460
647	844	458
648	844	456
649	845	455
650	846	453
651	847	452
652	848	450
653	849	449
654	849	447
655	851	446
656	852	445
657	853	443
658	854	441
659	855	440
660	855	438
661	856	437
662	857	436
663	859	434
664	860	433
665	861	432
666	862	430
667	863	429
668	864	427
669	866	426
670	867	425
671	868	424
672	869	422
673	870	421
674	871	419
675	872	418
676	873	416
677	874	415
678	874	413
679	875	412
680	876	410
681	877	409
682	878	407
683	879	406
684	880	404
685	881	403
686	882	402
687	883	400
688	884	399
689	885	397
690	886	396
691	887	394
692	888	393
693	889	392
694	889	390
695	891	389
696	891	387
697	892	386
698	893	384
699	894	383
700	895	381
701	896	380
702	897	379
703	898	377
704	899	376
705	900	374
706	901	373
707	902	372
708	902	370
709	903	369
710	904	367
711	905	366
712	906	364
713	907	363
714	907	361
715	908	360
716	909	359
717	911	358
718	913	356
719	914	355
720	915	354
721	916	352
722	917	351
723	917	349
724	918	348
725	919	347
726	920	345
727	921	344
728	922	342
729	923	341
730	924	340
731	926	339
732	927	337
733	928	336
734	929	334
735	930	333
736	931	332
737	931	330
738	932	329
739	933	328
740	934	326
741	935	325
742	936	323
743	937	322
744	938	321
745	939	319
746	939	318
747	941	317
748	942	315
749	943	314
750	944	313
751	945	311
752	946	310
753	947	308
754	947	307
755	948	306
756	949	304
757	950	303
758	951	302
759	952	300
760	953	299
761	954	298
762	955	296
763	956	295
764	957	294
765	958	292
766	959	291
767	960	290
768	961	288
769	962	287
770	962	286
771	964	284
772	965	283
773	966	282
774	968	281
775	970	280
776	972	279
777	974	277
778	974	276
779	976	275
780	977	274
781	978	272
782	979	271
783	980	270
784	982	268
785	983	267
786	984	266
787	985	265
788	986	263
789	987	262
790	988	261
791	989	259
792	990	258
793	991	257
794	992	255
795	993	254
796	994	253
797	995	251
798	995	250
799	997	249
800	997	247
801	998	246
802	1000	245
803	1001	244
804	1002	242
805	1003	241
806	1004	240
807	1005	238
808	1006	237
809	1007	236
810	1008	235
811	1009	233
812	1010	232
813	1011	231
814	1012	229
815	1013	228
816	1014	227
817	1015	225
818	1016	224
819	1017	223
820	1018	221
821	1019	220
822	1020	219
823	1021	218
824	1022	216
825	1024	215
826	1025	214
827	1027	213
828	1028	212
829	1031	211
830	1032	210
831	1034	208
832	1035	207
833	1037	206
834	1039	205
835	1040	204
836	1041	202
837	1042	201
838	1046	200
839	1048	199
840	1050	198
841	1052	197
842	1054	196
843	1055	195
844	1056	193
845	1057	192
846	1058	191
847	1061	190
848	1063	189
849	1064	187
850	1065	186
851	1066	185
852	1068	184
853	1069	182
